Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
94.279|07/06/2021 17:48 h|VOTOS EN BLANCO|117,006|0|0.646
94.279|07/06/2021 17:48 h|VOTOS NULOS|1,025,298|0|5.657
94.289|07/06/2021 18:18 h|FUERZA POPULAR|8,445,841|49.733|46.599
94.289|07/06/2021 18:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,536,365|50.267|47.098
94.289|07/06/2021 18:18 h|TOTAL DE VOTOS EMITIDOS|18,124,504|0|100.000
94.289|07/06/2021 18:18 h|TOTAL DE VOTOS VÁLIDOS|16,982,206|100.000|93.697
94.289|07/06/2021 18:18 h|VOTOS EN BLANCO|117,019|0|0.646
94.289|07/06/2021 18:18 h|VOTOS NULOS|1,025,279|0|5.657
94.402|07/06/2021 18:48 h|FUERZA POPULAR|8,453,225|49.735|46.601
94.402|07/06/2021 18:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,543,145|50.265|47.097
94.402|07/06/2021 18:48 h|TOTAL DE VOTOS EMITIDOS|18,139,614|0|100.000
94.402|07/06/2021 18:48 h|TOTAL DE VOTOS VÁLIDOS|16,996,370|100.000|93.698
94.402|07/06/2021 18:48 h|VOTOS EN BLANCO|117,180|0|0.646
94.402|07/06/2021 18:48 h|VOTOS NULOS|1,026,064|0|5.656
94.478|07/06/2021 19:23 h|FUERZA POPULAR|8,457,547|49.731|46.596
94.478|07/06/2021 19:23 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,548,929|50.269|47.100
94.478|07/06/2021 19:23 h|TOTAL DE VOTOS EMITIDOS|18,150,627|0|100.000
94.478|07/06/2021 19:23 h|TOTAL DE VOTOS VÁLIDOS|17,006,476|100.000|93.696
94.478|07/06/2021 19:23 h|VOTOS EN BLANCO|117,313|0|0.646
94.478|07/06/2021 19:23 h|VOTOS NULOS|1,026,838|0|5.657
94.523|07/06/2021 19:54 h|FUERZA POPULAR|8,459,997|49.729|46.594
94.523|07/06/2021 19:54 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,552,172|50.271|47.102
94.523|07/06/2021 19:54 h|TOTAL DE VOTOS EMITIDOS|18,156,854|0|100.000
94.523|07/06/2021 19:54 h|TOTAL DE VOTOS VÁLIDOS|17,012,169|100.000|93.696
94.523|07/06/2021 19:54 h|VOTOS EN BLANCO|117,387|0|0.647
94.523|07/06/2021 19:54 h|VOTOS NULOS|1,027,298|0|5.658
94.679|07/06/2021 20:18 h|FUERZA POPULAR|8,467,081|49.726|46.592
94.679|07/06/2021 20:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,560,232|50.274|47.104
94.679|07/06/2021 20:18 h|TOTAL DE VOTOS EMITIDOS|18,172,862|0|100.000
94.679|07/06/2021 20:18 h|TOTAL DE VOTOS VÁLIDOS|17,027,313|100.000|93.696
94.679|07/06/2021 20:18 h|VOTOS EN BLANCO|117,487|0|0.646
94.679|07/06/2021 20:18 h|VOTOS NULOS|1,028,062|0|5.657
94.866|07/06/2021 20:48 h|FUERZA POPULAR|8,475,639|49.720|46.587
94.866|07/06/2021 20:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,571,147|50.280|47.111
94.866|07/06/2021 20:48 h|TOTAL DE VOTOS EMITIDOS|18,193,334|0|100.000
94.866|07/06/2021 20:48 h|TOTAL DE VOTOS VÁLIDOS|17,046,786|100.000|93.698
94.866|07/06/2021 20:48 h|VOTOS EN BLANCO|117,645|0|0.647
94.866|07/06/2021 20:48 h|VOTOS NULOS|1,028,903|0|5.655
94.871|07/06/2021 21:19 h|FUERZA POPULAR|8,475,838|49.720|46.586
94.871|07/06/2021 21:19 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,571,378|50.280|47.112
94.871|07/06/2021 21:19 h|TOTAL DE VOTOS EMITIDOS|18,193,778|0|100.000
94.871|07/06/2021 21:19 h|TOTAL DE VOTOS VÁLIDOS|17,047,216|100.000|93.698
94.871|07/06/2021 21:19 h|VOTOS EN BLANCO|117,645|0|0.647
94.871|07/06/2021 21:19 h|VOTOS NULOS|1,028,917|0|5.655
94.879|07/06/2021 21:48 h|FUERZA POPULAR|8,476,149|49.719|46.586
94.879|07/06/2021 21:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,571,795|50.281|47.112
94.879|07/06/2021 21:48 h|TOTAL DE VOTOS EMITIDOS|18,194,559|0|100.000
94.879|07/06/2021 21:48 h|TOTAL DE VOTOS VÁLIDOS|17,047,944|100.000|93.698
94.879|07/06/2021 21:48 h|VOTOS EN BLANCO|117,652|0|0.647
94.879|07/06/2021 21:48 h|VOTOS NULOS|1,028,963|0|5.655
94.906|07/06/2021 22:18 h|FUERZA POPULAR|8,477,047|49.712|46.580
94.906|07/06/2021 22:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,575,142|50.288|47.119
94.906|07/06/2021 22:18 h|TOTAL DE VOTOS EMITIDOS|18,199,088|0|100.000
94.906|07/06/2021 22:18 h|TOTAL DE VOTOS VÁLIDOS|17,052,189|100.000|93.698
